jd,latitude_deg,longitude_deg
2460482.87638889,-35.4006,-81.4818
2460482.87708333,-32.8145,-78.2200
2460482.87777778,-30.1346,-75.1589
2460482.87847222,-27.3744,-72.2743
2460482.87916667,-24.5462,-69.5429
2460482.87986111,-21.6606,-66.9433
2460482.88055556,-18.7270,-64.4554
2460482.88125000,-15.7537,-62.0608
2460482.88194444,-12.7484,-59.7423
2460482.88263889,-9.7180,-57.4838
2460482.88333333,-6.6690,-55.2700
2460482.88402778,-3.6074,-53.0864
2460482.88472222,-0.5391,-50.9191
2460482.88541667,2.5301,-48.7542
2460482.88611111,5.5947,-46.5780
2460482.88680556,8.6487,-44.3765
2460482.88750000,11.6863,-42.1354
2460482.88819444,14.7011,-39.8398
2460482.88888889,17.6864,-37.4739
2460482.88958333,20.6348,-35.0209
2460482.89027778,23.5382,-32.4629
2460482.89097222,26.3877,-29.7803
2460482.89166667,29.1729,-26.9522
2460482.89236111,31.8824,-23.9560
2460482.89305556,34.5030,-20.7678
2460482.89375000,37.0197,-17.3624
2460482.89444444,39.4154,-13.7144
2460482.89513889,41.6708,-9.7989
2460482.89583333,43.7639,-5.5939
2460482.89652778,45.6709,-1.0824
2460482.89722222,47.3657,3.7440
2460482.89791667,48.8216,8.8815
2460482.89861111,50.0117,14.3097
2460482.89930556,50.9112,19.9893
2460482.90000000,51.4995,25.8609
2460482.90069444,51.7619,31.8477
2460482.90138889,51.6915,37.8615
2460482.90208333,51.2901,43.8115
2460482.90277778,50.5677,49.6130
2460482.90347222,49.5417,55.1961
2460482.90416667,48.2346,60.5094
2460482.90486111,46.6723,65.5216
2460482.90555556,44.8816,70.2196
2460482.90625000,42.8892,74.6050
2460482.90694444,40.7202,78.6902
2460482.90763889,38.3979,82.4948
2460482.90833333,35.9429,86.0420
2460482.90902778,33.3737,89.3573
2460482.90972222,30.7067,92.4661
2460482.91041667,27.9560,95.3931
2460482.91111111,25.1342,98.1617
2460482.91180556,22.2522,100.7939
2460482.91250000,19.3198,103.3101
2460482.91319444,16.3456,105.7292
2460482.91388889,13.3376,108.0687
2460482.91458333,10.3028,110.3449
2460482.91527778,7.2479,112.5733
2460482.91597222,4.1792,114.7687
2460482.91666667,1.1025,116.9452
2460482.91736111,-1.9762,119.1168
